م,الصنف,كمية,رويال الكيم / سنتر اللوتس التجاري,سعر التكلفة,رويال الكيم اونلاين,سعر1 كارت,رويال توزيع / عربيه,سعر2 كارت,ريال الكيم / اداره مخازن,سعر3 كارت,ROYAL ELCHIM . HURGADA,سعر4 كارت,ROYAL ELCHIM MARWA,تاريخ اخر حركة,الفرق,بيع,شراء,مرتجع بيع,مرتجع شراء,صادر,وارد,تالف,تسوية,قيمة بيع,قيمة شراء,قيمة مرتجع بيع,قيمة مرتجع شراء,قيمة تالف,الباركود,الوصف,حجز,غير مؤكد,ج تكلفة,نوع الصنف,اسم الصنف,الوصف 4,الوصف 5,ترتيب القائمة,سعر1 %,إجمالي الكمية,حد الطلب رويال الكيم / سنتر اللوتس التجاري,التصنيف الرئيسي,اسم القائمة,نواقص رويال الكيم / سنتر اللوتس التجاري,اخر تسوية رويال الكيم / سنتر اللوتس التجاري,صورة الصنف,اخر سعر شراء,سعر عرض,تاريخ النواقص,خصم بيع,خصم شراء,سعر1 = رويال الكيم / سنتر اللوتس التجاري,سعر2 = رويال الكيم / سنتر اللوتس التجاري,سعر3 = رويال الكيم / سنتر اللوتس التجاري,سعر4 = رويال الكيم / سنتر اللوتس التجاري,مطلوب حد الطلب,تاريخ اخر بيع,أونلاين,كمية أونلاين,تاريخ خصم أونلاين,سعر أونلاين,#هاشتاج,كلمات البحث,مورد اخر,ملاحظات,أول تاريخ,اخر تاريخ,تحت الطلب,نسبة الخصم**,اخر سعر تكلفة,تاريخ اخر شراء,*اسم الصنف Online,سعر تكلفة مخصص,إيقاف الإدراج,قيمة سعر1,قيمة سعر2,قيمة سعر3,قيمة سعر4,عدد الصور
1049,MONAYA Matte Liquid Foundation,0,0,79٫58,0,135,0,125,0,110,0,100,0,2023/12/11,,,,,,,,,,,,,,,092009,,0,,0,MONAYA,Matte Liquid Foundation,,,,69٫64,0,0,MAKE_UP,1,نواقص,99999,,79٫58,,2023/12/11,,,,,,,,,,-1,,,,,المركز التجاري,,,,0,41٫05,79٫58,2023/08/02,,79٫58,لا,135,125,110,100,0
2,إجمالي -   MONAYA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,0,0,,,,,,,0,,,,,0,0,0,0,0,,,,,,,,,,,,,,0,,,0,,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MY WAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MY WAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,MY WAY شاور جل لتر ونص,0,0,0,0,38٫5,0,35,0,32,0,27,0,,,,,,,,,,,,,,,,041002,,0,,0,MY WAY,شاور جل لتر ونص,,,,,0,0,,1,نواقص,99999,,0,,2021/07/14,,,,,,,,,,-1,,,,,,,,,0,,0,,,0,لا,38٫5,35,32,27,0
1,إجمالي -   MY WAY,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,0,0,,,,,,,0,,,,,0,0,0,0,0,,,,,,,,,,,,,,0,,,0,,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,New Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,New Gold 2222 BLACK,0,0,96٫33,0,180,0,170,0,160,0,150,0,2025/09/23,,,,,,,,,,,,,,,6223004020872,,0,,0,New Gold,2222 BLACK,,,,86٫87,0,0,,1,نواقص,99999,,95,,2025/02/03,,,,,,,,2025/09/23,,-1,,,,,ا/عبد الفتاح سمير عبد الفتاح,,,,0,46٫49,96٫33,2024/12/18,,96٫33,لا,180,170,160,150,0
1052,New Gold ACQUA DI PARISIS FOREVER 250ML,0,0,60٫42,0,102,0,90,0,80,0,70,0,2024/02/12,,,,,,,,,,,,,,,3700066701732,FOREVER,0,,0,New Gold,ACQUA DI PARISIS,250ML,,,68٫82,0,0,,1,نواقص,99999,,60٫42,,2024/02/12,,,,,,,,2024/02/12,,-1,,,,,ا/عبد الفتاح سمير عبد الفتاح,,,,0,40٫77,60٫42,2022/02/24,,60٫42,لا,102,90,80,70,0
1053,New Gold ACQUA DI PARISIS PATCHOULI 250ML,0,0,60٫42,0,102,0,90,0,80,0,70,0,2024/01/31,,,,,,,,,,,,,,,3700066701725,PATCHOULI,0,,0,New Gold,ACQUA DI PARISIS,250ML,,,68٫82,0,0,,1,نواقص,1368,,60٫42,,2023/10/12,,,,,,,,2022/08/30,,-1,,,,,ا/عبد الفتاح سمير عبد الفتاح,,,,0,40٫77,60٫42,2022/02/24,,60٫42,لا,102,90,80,70,0
1054,New Gold ALBANE NOBLE POUE HOMME 250ML,0,0,60٫42,0,102,0,90,0,80,0,70,0,2024/01/31,,,,,,,,,,,,,,,3700066701664,POUE HOMME,0,,0,New Gold,ALBANE NOBLE,250ML,,,68٫83,0,0,,1,نواقص,99999,,60٫42,,2023/10/12,,,,,,,,2022/07/01,,-1,,,,,ا/عبد الفتاح سمير عبد الفتاح,,,,0,40٫77,60٫42,2021/09/14,,60٫42,لا,102,90,80,70,0
1055,New Gold ALBANE NOBLE GRAND PALAIS GEPARLYS SPRAY250,0,0,52٫08,0,88,0,75,0,70,0,60,0,2024/01/31,,,,,,,,,,,,,,,3700066713650,GEPARLYS,0,,0,New Gold,ALBANE NOBLE GRAND PALAIS,SPRAY250,M,,68٫96,0,0,,1,نواقص,1368,,52٫08,,2022/07/14,,,,,,,,2022/11/25,,-1,,,,,ا/عبد الفتاح سمير عبد الفتاح,,,,0,40٫81,52٫08,2021/09/14,,52٫08,لا,88,75,70,60,0
